gis_join,time
G2200950,3.6335091590881348
G1200670,3.9209346771240234
G1200650,4.03655743598938
G4804790,3.5859358310699463
G2800470,3.6178030967712402
G4805070,2.9611153602600098
G4800130,3.9393463134765625
G0400120,4.271484851837158
G4800430,3.318096399307251
G0600730,4.058902025222778
G4802450,4.072925806045532
G4801490,2.524524688720703
G0100030,4.343472719192505
G1201330,3.612337350845337
G4800910,3.8750038146972656
G4800470,3.687152147293091
G4800210,3.6104464530944824
G1200850,3.831453800201416
G2800450,4.01155424118042
G2201050,3.684019088745117
G1200690,4.427202224731445
G4803110,3.632723331451416
G2201030,3.1900198459625244
G1200450,3.2824831008911133
G4802970,3.6104137897491455
G4803250,4.080622673034668
G1301270,3.8090927600860596
G4804930,3.5596935749053955
G1200950,3.7347488403320312
G4800610,4.161856651306152
G1200090,2.7776784896850586
G4804630,3.602731943130493
G1200310,1.3585472106933594
G4800070,4.275184154510498
G1200150,4.311400890350342
G4801630,4.4527106285095215
G1200970,3.9005649089813232
G2200710,4.13466215133667
G2200630,4.292648553848267
G2200230,3.757117986679077
G1201190,3.6775641441345215
G1200430,3.264662027359009
G1200860,3.555797576904297
G4802550,3.875332832336426
G0600270,4.043913841247559
G1200550,3.6955738067626953
G4804270,3.8112053871154785
G2200010,4.086927652359009
G4803550,3.6697800159454346
G4804530,3.605640411376953
G2201090,3.432957410812378
G1201010,3.939600944519043
G4801770,3.1533737182617188
G0600710,4.08153510093689
G1200230,3.222287893295288
G4803210,3.696847677230835
G2200990,4.049630165100098
G2200570,3.8207876682281494
G4802830,3.041431188583374
G0400210,3.717135190963745
G4801570,3.931044340133667
G4801230,3.0168709754943848
G2200530,3.611855983734131
G1201210,3.107564926147461
G3200170,3.7492587566375732
G1200930,3.579338550567627
G2200450,2.853391647338867
G1201070,3.617866277694702
G1201050,3.8411548137664795
G1200470,3.4308888912200928
G1200270,2.601680040359497
G4802390,4.236959457397461
G1200070,2.969029188156128
G1201170,4.2006752490997314
G4801850,4.247830390930176
G2200190,4.215752363204956
G2200510,3.260920524597168
G4800410,3.79532790184021
G4803610,3.708573818206787
G1200410,3.4015820026397705
G1200610,1.811234712600708
G4803230,2.8977479934692383
G1200350,3.765709400177002
G4800250,3.468859910964966
G4800710,3.40630841255188
G4804430,3.003946542739868
G4801270,3.9577841758728027
G1200530,3.4784700870513916
G1200830,4.112062692642212
G1200750,3.181580066680908
G0400070,3.2305684089660645
G1201270,3.0152487754821777
G4800570,4.202983856201172
G0400270,3.5879812240600586
G1200990,3.8525187969207764
G4801870,3.5911483764648438
G2201130,3.071337938308716
G1200210,3.257946252822876
G1201110,3.8879551887512207
G4801310,3.764838695526123
G1201290,3.234053134918213
G1200810,4.033003091812134
G4803390,3.6915218830108643
G1301790,3.650588035583496
G1302990,3.756032943725586
G1200010,4.257613897323608
G1201030,3.5981695652008057
G0400130,3.3551318645477295
G4803770,3.822949171066284
G4800150,4.033704519271851
G4801670,3.7615604400634766
G1201130,3.6624443531036377
G4804770,3.5212020874023438
G4802850,3.480833053588867
G1200330,4.156139373779297
G4802910,3.1437909603118896
G4800290,4.303318023681641
G1300390,3.6119391918182373
G1201250,3.689871311187744
G2800590,3.5941333770751953
G1200490,3.332547903060913
G3200030,1.6161842346191406
G2200930,4.406439542770386
G2200070,3.7253122329711914
G4804650,3.250047206878662
G4805050,3.771547555923462
G1200110,3.512822151184082
G1300490,4.264147996902466
G1201090,2.947486639022827
G0400250,3.857886791229248
G4804810,4.417317867279053
G1200370,3.7301647663116455
G1200570,3.031632900238037
G1201310,3.6464779376983643
G4802490,3.5852162837982178
G0600650,3.575153112411499
G4804730,3.962697744369507
G0400150,3.518223762512207
G1200510,3.6376309394836426
G4801750,3.1386938095092773
G4802730,3.837904930114746
G1301910,2.9182374477386475
G1201230,4.025426864624023
G0600290,3.7674458026885986
G1200710,4.423144102096558
G2201010,3.591923475265503
G2200970,3.882866621017456
G0600250,3.7482550144195557
G4804690,3.627331256866455
G4802610,3.239466905593872
G4800890,3.1576144695281982
G1201150,3.373622417449951
G0100970,2.109708786010742
G2200750,3.7686731815338135
G4804890,4.181094169616699
G1200910,3.744640827178955
G4802010,3.801513195037842
G0400190,1.9744102954864502
G1200790,3.7168631553649902
G1200190,4.06240701675415
G4800390,1.9328587055206299
G4802870,3.5178074836730957
G1200030,3.610046148300171
G4802710,3.32649827003479
G4802150,2.5749173164367676
G4802470,3.5228540897369385
G4803910,3.490924596786499
G4804090,2.1422064304351807
G4800550,3.872338056564331
G2200890,3.662299871444702
G1200770,4.244198799133301
G1200050,3.780158519744873
G1200170,3.6466610431671143
G2200870,3.713329553604126
G1200890,3.663017749786377
