gis_join,time
G2200950,3.873642683029175
G1200670,3.3252062797546387
G1200650,2.9795336723327637
G4804790,3.1929054260253906
G2800470,4.13075590133667
G4805070,3.1213839054107666
G4800130,4.263530492782593
G0400120,3.4061355590820312
G4800430,3.3219523429870605
G0600730,4.0102057456970215
G4802450,3.221388816833496
G4801490,4.303321123123169
G0100030,2.6949121952056885
G1201330,3.4545907974243164
G4800910,3.916100025177002
G4800470,3.4449925422668457
G4800210,4.198004961013794
G1200850,3.899749994277954
G2800450,3.659606695175171
G2201050,2.758549451828003
G1200690,3.2271952629089355
G4803110,3.5367705821990967
G2201030,3.5551860332489014
G1200450,3.415536403656006
G4802970,3.7560102939605713
G4803250,3.5991787910461426
G1301270,3.095921516418457
G4804930,3.7633609771728516
G1200950,4.056997299194336
G4800610,3.409014940261841
G1200090,3.474151372909546
G4804630,4.038358926773071
G1200310,3.562445878982544
G4800070,4.008655309677124
G1200150,2.993264675140381
G4801630,3.0439553260803223
G1200970,3.3660781383514404
G2200710,3.732125997543335
G2200630,4.04387354850769
G2200230,3.332998037338257
G1201190,2.711172103881836
G1200430,4.14180064201355
G1200860,4.377998352050781
G4802550,3.144944429397583
G0600270,2.920807123184204
G1200550,2.674759864807129
G4804270,2.919393539428711
G2200010,4.137270450592041
G4803550,3.9287776947021484
G4804530,2.6148836612701416
G2201090,4.206315755844116
G1201010,3.5044710636138916
G4801770,3.614705801010132
G0600710,3.173191785812378
G1200230,3.0923829078674316
G4803210,2.7231218814849854
G2200990,2.704124927520752
G2200570,2.7265913486480713
G4802830,3.9940221309661865
G0400210,3.5280814170837402
G4801570,2.747743606567383
G4801230,3.630349636077881
G2200530,4.991766929626465
G1201210,3.436645984649658
G3200170,5.087109804153442
G1200930,2.737107992172241
G2200450,2.917752265930176
G1201070,4.272456645965576
G1201050,3.8084802627563477
G1200470,3.8290934562683105
G1200270,3.7966456413269043
G4802390,3.493788957595825
G1200070,3.980736255645752
G1201170,2.8984272480010986
G4801850,3.186002731323242
G2200190,2.5977816581726074
G2200510,4.723103761672974
G4800410,3.9688613414764404
G4803610,3.4206430912017822
G1200410,3.7953271865844727
G1200610,2.7380776405334473
G4803230,3.9888813495635986
G1200350,4.119595289230347
G4800250,4.2566750049591064
G4800710,4.1939826011657715
G4804430,3.890582323074341
G4801270,3.147860527038574
G1200530,4.346788644790649
G1200830,3.9251294136047363
G1200750,3.56522798538208
G0400070,3.222217082977295
G1201270,3.9287123680114746
G4800570,3.9376578330993652
G0400270,3.9845130443573
G1200990,5.0156145095825195
G4801870,3.0501348972320557
G2201130,3.347608804702759
G1200210,4.9467315673828125
G1201110,4.294948577880859
G4801310,3.0409927368164062
G1201290,4.593387126922607
G1200810,3.6459474563598633
G4803390,3.360788106918335
G1301790,3.4283902645111084
G1302990,3.7945685386657715
G1200010,3.4979825019836426
G1201030,3.4270966053009033
G0400130,3.338986396789551
G4803770,3.6882944107055664
G4800150,3.428302526473999
G4801670,4.972168684005737
G1201130,3.2323498725891113
G4804770,2.7920029163360596
G4802850,3.2672526836395264
G1200330,3.875837802886963
G4802910,3.149717330932617
G4800290,5.041691541671753
G1300390,3.7920081615448
G1201250,3.659813642501831
G2800590,3.218127965927124
G1200490,2.8309857845306396
G3200030,4.536377191543579
G2200930,3.626608371734619
G2200070,3.340776205062866
G4804650,3.8430910110473633
G4805050,3.7881999015808105
G1200110,3.6673831939697266
G1300490,3.2687551975250244
G1201090,5.058515310287476
G0400250,2.9536805152893066
G4804810,3.6138241291046143
G1200370,3.3702943325042725
G1200570,3.1097946166992188
G1201310,3.6432435512542725
G4802490,4.40667724609375
G0600650,3.7508928775787354
G4804730,4.065133094787598
G0400150,3.4245126247406006
G1200510,3.1879804134368896
G4801750,3.054651975631714
G4802730,3.3293004035949707
G1301910,3.3786940574645996
G1201230,4.482408761978149
G0600290,2.681220769882202
G1200710,3.670548915863037
G2201010,3.6189417839050293
G2200970,4.2971813678741455
G0600250,3.9224727153778076
G4804690,4.613059043884277
G4802610,3.654939651489258
G4800890,4.3100364208221436
G1201150,3.93829345703125
G0100970,3.9581804275512695
G2200750,3.919478416442871
G4804890,3.811551332473755
G1200910,3.443169116973877
G4802010,2.9689719676971436
G0400190,2.6545934677124023
G1200790,4.0360493659973145
G1200190,2.908829927444458
G4800390,3.618922710418701
G4802870,3.7221877574920654
G1200030,4.191038131713867
G4802710,5.093646287918091
G4802150,4.075592517852783
G4802470,3.606713056564331
G4803910,4.259562730789185
G4804090,3.272239923477173
G4800550,3.9742462635040283
G2200890,3.3017311096191406
G1200770,4.125134468078613
G1200050,3.2556307315826416
G1200170,3.510838508605957
G2200870,3.8766067028045654
G1200890,3.916581153869629
