gis_join,time
G5300470,0.8294577598571777
G3100270,0.29282498359680176
G3900610,0.8747363090515137
G3101110,0.974632978439331
G2600550,0.8564491271972656
G2900210,0.8249716758728027
G2701410,0.19400572776794434
G5401010,0.5046324729919434
G3101830,0.9143862724304199
G4201170,1.0076897144317627
G3100310,0.34627437591552734
G0800870,0.7708132266998291
G2601370,0.3983442783355713
G3200310,0.8044519424438477
G3901190,0.8703725337982178
G3100650,0.6178760528564453
G2901470,0.8530027866363525
G3100150,0.7430944442749023
G3000170,0.539607048034668
G4201290,0.9109756946563721
G2000690,0.5213561058044434
G0800470,0.5675737857818604
G3400110,0.8475959300994873
G2901830,0.9115257263183594
G4600890,0.4355173110961914
G2902150,0.7058620452880859
G2600650,0.9593656063079834
G5100610,0.7368619441986084
G4900110,0.30999112129211426
G3701710,0.9213547706604004
G0800170,0.9995973110198975
G2701110,1.0985682010650635
G2700730,0.6606800556182861
G2901610,0.8172409534454346
G5500910,0.28347182273864746
G5300230,0.33264899253845215
G1901970,0.8323700428009033
G5300690,0.7812345027923584
G2101630,0.6379189491271973
G0800110,0.8420326709747314
G2700330,0.529099702835083
G0801030,0.8891057968139648
G4701730,0.17625188827514648
G5600030,0.15581321716308594
G3100330,0.43137192726135254
G3000410,0.6000945568084717
G2600730,1.0900018215179443
G2000650,0.41816234588623047
G1600130,0.6885924339294434
G3600310,0.8665776252746582
G2000710,0.8735089302062988
G2500170,0.9583075046539307
G3000470,0.32030534744262695
G3600330,0.5908298492431641
G1700330,0.578810453414917
G2100290,0.7558739185333252
G3900530,0.6877026557922363
G5400910,0.3956325054168701
G3101370,0.6764001846313477
G2001650,0.7980709075927734
G2601230,0.8012740612030029
G5100910,0.9158759117126465
G3600250,0.5342082977294922
G5500590,0.4520087242126465
G2300190,0.7224791049957275
G4201270,0.9853200912475586
G5101250,0.7249143123626709
G4600830,0.7065808773040771
G2600290,0.75429368019104
G4200630,0.38373446464538574
G2000230,0.9440023899078369
G1900210,0.5767602920532227
G3901490,0.5939905643463135
G2601350,0.546018123626709
G5100490,0.41023993492126465
G1700830,0.9292459487915039
G1801550,1.0215041637420654
G5500570,0.5192928314208984
G3101530,0.943295955657959
G1701590,0.8544230461120605
G2900810,0.9584417343139648
