gis_join,time
G2200950,160.29482007026672
G1200670,184.58035373687744
G1200650,152.10957741737366
G4804790,165.72517800331116
G2800470,159.8221960067749
G4805070,158.12739515304565
G4800130,238.63309717178345
G0400120,146.54083776474
G4800430,156.58795022964478
G0600730,185.33545589447021
G4802450,158.76562094688416
G4801490,166.51312494277954
G0100030,158.2105348110199
G1201330,141.58667945861816
G4800910,151.26572346687317
G4800470,112.67714214324951
G4800210,151.41196489334106
G1200850,158.91567063331604
G2800450,138.22185015678406
G2201050,142.04752469062805
G1200690,183.18738079071045
G4803110,182.33089089393616
G2201030,161.87681460380554
G1200450,139.33892822265625
G4802970,178.93362832069397
G4803250,141.06531286239624
G1301270,164.66397356987
G4804930,171.01540112495422
G1200950,166.07892990112305
G4800610,179.62903261184692
G1200090,159.91511487960815
G4804630,155.96460437774658
G1200310,156.49580216407776
G4800070,164.51548624038696
G1200150,145.3632996082306
G4801630,157.28504180908203
G1200970,139.35482835769653
G2200710,140.94278216362
G2200630,129.9627411365509
G2200230,142.76351737976074
G1201190,156.64077925682068
G1200430,170.35411071777344
G1200860,137.460866689682
G4802550,168.54292488098145
G0600270,185.77914762496948
G1200550,138.22536396980286
G4804270,179.0173544883728
G2200010,158.17794919013977
G4803550,166.02823042869568
G4804530,182.2952733039856
G2201090,151.88474917411804
G1201010,156.22751545906067
G4801770,164.18724393844604
G0600710,250.64093375205994
G1200230,170.28282260894775
G4803210,159.43531155586243
G2200990,161.05931997299194
G2200570,160.06383633613586
G4802830,146.1591601371765
G0400210,183.72321486473083
G4801570,163.29282426834106
G4801230,165.95142555236816
G2200530,159.65334916114807
G1201210,157.37300086021423
G3200170,174.2457573413849
G1200930,128.6319100856781
G2200450,159.90916562080383
G1201070,129.49080228805542
G1201050,215.74382305145264
G1200470,127.35167002677917
G1200270,156.58419275283813
G4802390,159.3547158241272
G1200070,165.5185432434082
G1201170,133.54050397872925
G4801850,163.88447332382202
G2200190,163.43012738227844
G2200510,152.14731621742249
G4800410,168.75920581817627
G4803610,176.05391001701355
G1200410,167.63842034339905
G1200610,142.69406032562256
G4803230,144.15532779693604
G1200350,158.029527425766
G4800250,140.03376054763794
G4800710,156.28629112243652
G4804430,179.92307353019714
G4801270,181.82631707191467
G1200530,165.18771839141846
G1200830,171.4949758052826
G1200750,153.0225579738617
G0400070,169.91964173316956
G1201270,140.01055216789246
G4800570,158.5261960029602
G0400270,169.30914449691772
G1200990,156.15900015830994
G4801870,167.33426141738892
G2201130,141.77323079109192
G1200210,159.3498992919922
G1201110,158.7872712612152
G4801310,147.4615592956543
G1201290,141.87728095054626
G1200810,155.85556936264038
G4803390,162.1003234386444
G1301790,180.9047827720642
G1302990,183.56922316551208
G1200010,169.17755103111267
G1201030,142.0846972465515
G0400130,170.59692478179932
G4803770,152.07360529899597
G4800150,174.91136860847473
G4801670,166.6392204761505
G1201130,158.76676082611084
G4804770,250.46772241592407
G4802850,163.9838047027588
G1200330,173.2794954776764
G4802910,157.7227816581726
G4800290,144.47238731384277
G1300390,158.06632924079895
G1201250,162.51751375198364
G2800590,165.91129541397095
G1200490,161.2922556400299
G3200030,166.58586430549622
G2200930,143.71532917022705
G2200070,111.40265226364136
G4804650,166.50200390815735
G4805050,165.01267004013062
G1200110,158.82815861701965
G1300490,255.47819757461548
G1201090,168.38207912445068
G0400250,184.16563367843628
G4804810,142.76359605789185
G1200370,147.01854848861694
G1200570,158.74719667434692
G1201310,145.0990490913391
G4802490,156.41547989845276
G0600650,250.89409589767456
G4804730,154.89065980911255
G0400150,172.03593111038208
G1200510,140.2705545425415
G4801750,157.70965600013733
G4802730,166.44269013404846
G1301910,165.72275257110596
G1201230,178.20228838920593
G0600290,181.4027442932129
G1200710,143.35714673995972
G2201010,157.8622808456421
G2200970,169.39783668518066
G0600250,166.24440097808838
G4804690,150.6324224472046
G4802610,161.70838570594788
G4800890,173.60149478912354
G1201150,222.04726314544678
G0100970,141.89912033081055
G2200750,183.00332379341125
G4804890,160.4910445213318
G1200910,158.56976914405823
G4802010,111.88629221916199
G0400190,254.77713918685913
G1200790,255.90546822547913
G1200190,171.9866440296173
G4800390,160.89948534965515
G4802870,255.98605751991272
G1200030,184.4518404006958
G4802710,177.41788816452026
G4802150,163.388432264328
G4802470,180.4723916053772
G4803910,168.57439970970154
G4804090,165.83415150642395
G4800550,182.2227988243103
G2200890,144.19047164916992
G1200770,128.3224458694458
G1200050,158.26585412025452
G1200170,152.2133274078369
G2200870,158.0686159133911
G1200890,238.16491174697876
